,date,state,cases,deaths,mental disorder,frequency of mental disorder
30,4/23/2020,Georgia,20905,871,Symptoms of Depressive Disorder,25.6
31,4/23/2020,Georgia,20905,871,Symptoms of Anxiety Disorder,31.9
32,4/23/2020,Georgia,20905,871,Symptoms of Anxiety Disorder or Depressive Disorder,36.2
33,4/23/2020,Hawaii,590,12,Symptoms of Depressive Disorder,20.0
34,4/23/2020,Hawaii,590,12,Symptoms of Anxiety Disorder,32.3
35,4/23/2020,Hawaii,590,12,Symptoms of Anxiety Disorder or Depressive Disorder,37.0
36,4/23/2020,Idaho,1836,54,Symptoms of Depressive Disorder,20.6
37,4/23/2020,Idaho,1836,54,Symptoms of Anxiety Disorder,26.9
38,4/23/2020,Idaho,1836,54,Symptoms of Anxiety Disorder or Depressive Disorder,33.3
39,4/23/2020,Illinois,36935,1696,Symptoms of Depressive Disorder,23.3
40,4/23/2020,Illinois,36935,1696,Symptoms of Anxiety Disorder,31.1
41,4/23/2020,Illinois,36935,1696,Symptoms of Anxiety Disorder or Depressive Disorder,36.6
42,4/23/2020,Indiana,13196,811,Symptoms of Depressive Disorder,26.4
43,4/23/2020,Indiana,13196,811,Symptoms of Anxiety Disorder,31.8
44,4/23/2020,Indiana,13196,811,Symptoms of Anxiety Disorder or Depressive Disorder,37.8
45,4/23/2020,Iowa,3939,96,Symptoms of Depressive Disorder,16.5
46,4/23/2020,Iowa,3939,96,Symptoms of Anxiety Disorder,22.5
47,4/23/2020,Iowa,3939,96,Symptoms of Anxiety Disorder or Depressive Disorder,28.2
48,4/23/2020,Kansas,2626,112,Symptoms of Depressive Disorder,22.1
49,4/23/2020,Kansas,2626,112,Symptoms of Anxiety Disorder,26.4
50,4/23/2020,Kansas,2626,112,Symptoms of Anxiety Disorder or Depressive Disorder,32.5
51,4/23/2020,Kentucky,3548,194,Symptoms of Depressive Disorder,23.2
52,4/23/2020,Kentucky,3548,194,Symptoms of Anxiety Disorder,31.6
53,4/23/2020,Kentucky,3548,194,Symptoms of Anxiety Disorder or Depressive Disorder,36.4
54,4/23/2020,Louisiana,25798,1599,Symptoms of Depressive Disorder,28.1
55,4/23/2020,Louisiana,25798,1599,Symptoms of Anxiety Disorder,34.4
56,4/23/2020,Louisiana,25798,1599,Symptoms of Anxiety Disorder or Depressive Disorder,38.9
57,4/23/2020,Maine,937,44,Symptoms of Depressive Disorder,19.5
58,4/23/2020,Maine,937,44,Symptoms of Anxiety Disorder,29.5
59,4/23/2020,Maine,937,44,Symptoms of Anxiety Disorder or Depressive Disorder,34.3
60,4/23/2020,Maryland,15805,748,Symptoms of Depressive Disorder,20.9
61,4/23/2020,Maryland,15805,748,Symptoms of Anxiety Disorder,27.7
62,4/23/2020,Maryland,15805,748,Symptoms of Anxiety Disorder or Depressive Disorder,32.9
63,4/23/2020,Massachusetts,46023,2360,Symptoms of Depressive Disorder,25.9
64,4/23/2020,Massachusetts,46023,2360,Symptoms of Anxiety Disorder,37.0
65,4/23/2020,Massachusetts,46023,2360,Symptoms of Anxiety Disorder or Depressive Disorder,40.6
66,4/23/2020,Michigan,35253,2977,Symptoms of Depressive Disorder,25.5
67,4/23/2020,Michigan,35253,2977,Symptoms of Anxiety Disorder,32.5
68,4/23/2020,Michigan,35253,2977,Symptoms of Anxiety Disorder or Depressive Disorder,39.4
69,4/23/2020,Minnesota,2942,200,Symptoms of Depressive Disorder,20.4
70,4/23/2020,Minnesota,2942,200,Symptoms of Anxiety Disorder,28.5
71,4/23/2020,Minnesota,2942,200,Symptoms of Anxiety Disorder or Depressive Disorder,32.4
72,4/23/2020,Mississippi,5153,201,Symptoms of Depressive Disorder,22.9
73,4/23/2020,Mississippi,5153,201,Symptoms of Anxiety Disorder,30.3
74,4/23/2020,Mississippi,5153,201,Symptoms of Anxiety Disorder or Depressive Disorder,34.5
75,4/23/2020,Missouri,6321,248,Symptoms of Depressive Disorder,21.0
76,4/23/2020,Missouri,6321,248,Symptoms of Anxiety Disorder,30.4
77,4/23/2020,Missouri,6321,248,Symptoms of Anxiety Disorder or Depressive Disorder,35.2
78,4/23/2020,Montana,442,14,Symptoms of Depressive Disorder,18.2
79,4/23/2020,Montana,442,14,Symptoms of Anxiety Disorder,22.8
80,4/23/2020,Montana,442,14,Symptoms of Anxiety Disorder or Depressive Disorder,27.3
81,4/23/2020,Nebraska,2190,46,Symptoms of Depressive Disorder,19.1
82,4/23/2020,Nebraska,2190,46,Symptoms of Anxiety Disorder,24.2
83,4/23/2020,Nebraska,2190,46,Symptoms of Anxiety Disorder or Depressive Disorder,28.6
84,4/23/2020,Nevada,4208,195,Symptoms of Depressive Disorder,23.6
85,4/23/2020,Nevada,4208,195,Symptoms of Anxiety Disorder,31.4
86,4/23/2020,Nevada,4208,195,Symptoms of Anxiety Disorder or Depressive Disorder,34.8
87,4/23/2020,New Hampshire,1670,51,Symptoms of Depressive Disorder,19.5
88,4/23/2020,New Hampshire,1670,51,Symptoms of Anxiety Disorder,31.3
89,4/23/2020,New Hampshire,1670,51,Symptoms of Anxiety Disorder or Depressive Disorder,34.8
90,4/23/2020,New Jersey,99989,5368,Symptoms of Depressive Disorder,23.6
91,4/23/2020,New Jersey,99989,5368,Symptoms of Anxiety Disorder,31.4
92,4/23/2020,New Jersey,99989,5368,Symptoms of Anxiety Disorder or Depressive Disorder,37.6
93,4/23/2020,New Mexico,2379,78,Symptoms of Depressive Disorder,22.4
94,4/23/2020,New Mexico,2379,78,Symptoms of Anxiety Disorder,27.9
95,4/23/2020,New Mexico,2379,78,Symptoms of Anxiety Disorder or Depressive Disorder,34.6
96,4/23/2020,New York,267932,20212,Symptoms of Depressive Disorder,28.7
97,4/23/2020,New York,267932,20212,Symptoms of Anxiety Disorder,36.1
98,4/23/2020,New York,267932,20212,Symptoms of Anxiety Disorder or Depressive Disorder,41.4
99,4/23/2020,North Carolina,7608,253,Symptoms of Depressive Disorder,21.1
100,4/23/2020,North Carolina,7608,253,Symptoms of Anxiety Disorder,30.0
101,4/23/2020,North Carolina,7608,253,Symptoms of Anxiety Disorder or Depressive Disorder,34.6
102,4/23/2020,North Dakota,709,15,Symptoms of Depressive Disorder,17.0
103,4/23/2020,North Dakota,709,15,Symptoms of Anxiety Disorder,21.7
104,4/23/2020,North Dakota,709,15,Symptoms of Anxiety Disorder or Depressive Disorder,27.7
105,4/23/2020,Ohio,14694,656,Symptoms of Depressive Disorder,21.2
106,4/23/2020,Ohio,14694,656,Symptoms of Anxiety Disorder,31.1
107,4/23/2020,Ohio,14694,656,Symptoms of Anxiety Disorder or Depressive Disorder,35.1
108,4/23/2020,Oklahoma,3017,179,Symptoms of Depressive Disorder,20.8
109,4/23/2020,Oklahoma,3017,179,Symptoms of Anxiety Disorder,28.6
110,4/23/2020,Oklahoma,3017,179,Symptoms of Anxiety Disorder or Depressive Disorder,34.1
111,4/23/2020,Oregon,2127,83,Symptoms of Depressive Disorder,22.5
112,4/23/2020,Oregon,2127,83,Symptoms of Anxiety Disorder,31.5
113,4/23/2020,Oregon,2127,83,Symptoms of Anxiety Disorder or Depressive Disorder,36.8
114,4/23/2020,Pennsylvania,38334,1723,Symptoms of Depressive Disorder,24.7
115,4/23/2020,Pennsylvania,38334,1723,Symptoms of Anxiety Disorder,31.0
116,4/23/2020,Pennsylvania,38334,1723,Symptoms of Anxiety Disorder or Depressive Disorder,35.1
117,4/23/2020,Rhode Island,6256,189,Symptoms of Depressive Disorder,24.5
118,4/23/2020,Rhode Island,6256,189,Symptoms of Anxiety Disorder,27.6
119,4/23/2020,Rhode Island,6256,189,Symptoms of Anxiety Disorder or Depressive Disorder,34.4
120,4/23/2020,South Carolina,4917,150,Symptoms of Depressive Disorder,21.6
121,4/23/2020,South Carolina,4917,150,Symptoms of Anxiety Disorder,27.8
122,4/23/2020,South Carolina,4917,150,Symptoms of Anxiety Disorder or Depressive Disorder,33.3
123,4/23/2020,South Dakota,1956,9,Symptoms of Depressive Disorder,17.5
124,4/23/2020,South Dakota,1956,9,Symptoms of Anxiety Disorder,22.1
125,4/23/2020,South Dakota,1956,9,Symptoms of Anxiety Disorder or Depressive Disorder,25.6
126,4/23/2020,Tennessee,8169,172,Symptoms of Depressive Disorder,22.2
127,4/23/2020,Tennessee,8169,172,Symptoms of Anxiety Disorder,28.2
128,4/23/2020,Tennessee,8169,172,Symptoms of Anxiety Disorder or Depressive Disorder,33.4
129,4/23/2020,Texas,22706,601,Symptoms of Depressive Disorder,24.4
130,4/23/2020,Texas,22706,601,Symptoms of Anxiety Disorder,29.7
131,4/23/2020,Texas,22706,601,Symptoms of Anxiety Disorder or Depressive Disorder,34.9
132,4/23/2020,Utah,3621,35,Symptoms of Depressive Disorder,22.9
133,4/23/2020,Utah,3621,35,Symptoms of Anxiety Disorder,28.9
134,4/23/2020,Utah,3621,35,Symptoms of Anxiety Disorder or Depressive Disorder,34.7
135,4/23/2020,Vermont,825,42,Symptoms of Depressive Disorder,20.7
136,4/23/2020,Vermont,825,42,Symptoms of Anxiety Disorder,30.6
137,4/23/2020,Vermont,825,42,Symptoms of Anxiety Disorder or Depressive Disorder,33.9
138,4/23/2020,Virginia,10999,375,Symptoms of Depressive Disorder,21.5
139,4/23/2020,Virginia,10999,375,Symptoms of Anxiety Disorder,28.5
140,4/23/2020,Virginia,10999,375,Symptoms of Anxiety Disorder or Depressive Disorder,33.7
141,4/23/2020,Washington,12981,717,Symptoms of Depressive Disorder,22.1
142,4/23/2020,Washington,12981,717,Symptoms of Anxiety Disorder,30.6
143,4/23/2020,Washington,12981,717,Symptoms of Anxiety Disorder or Depressive Disorder,35.0
144,4/23/2020,West Virginia,981,31,Symptoms of Depressive Disorder,23.4
145,4/23/2020,West Virginia,981,31,Symptoms of Anxiety Disorder,28.8
146,4/23/2020,West Virginia,981,31,Symptoms of Anxiety Disorder or Depressive Disorder,34.3
147,4/23/2020,Wisconsin,5125,257,Symptoms of Depressive Disorder,22.0
148,4/23/2020,Wisconsin,5125,257,Symptoms of Anxiety Disorder,27.1
149,4/23/2020,Wisconsin,5125,257,Symptoms of Anxiety Disorder or Depressive Disorder,31.1
150,4/23/2020,Wyoming,453,7,Symptoms of Depressive Disorder,18.9
151,4/23/2020,Wyoming,453,7,Symptoms of Anxiety Disorder,24.9
152,4/23/2020,Wyoming,453,7,Symptoms of Anxiety Disorder or Depressive Disorder,31.0
153,5/7/2020,Alabama,9046,369,Symptoms of Depressive Disorder,22.5
154,5/7/2020,Alabama,9046,369,Symptoms of Anxiety Disorder,27.2
155,5/7/2020,Alabama,9046,369,Symptoms of Anxiety Disorder or Depressive Disorder,30.6
156,5/7/2020,Alaska,373,8,Symptoms of Depressive Disorder,25.1
157,5/7/2020,Alaska,373,8,Symptoms of Anxiety Disorder,27.4
158,5/7/2020,Alaska,373,8,Symptoms of Anxiety Disorder or Depressive Disorder,35.7
159,5/7/2020,Arizona,9945,450,Symptoms of Depressive Disorder,25.3
160,5/7/2020,Arizona,9945,450,Symptoms of Anxiety Disorder,34.2
161,5/7/2020,Arizona,9945,450,Symptoms of Anxiety Disorder or Depressive Disorder,38.4
162,5/7/2020,Arkansas,3694,88,Symptoms of Depressive Disorder,24.5
163,5/7/2020,Arkansas,3694,88,Symptoms of Anxiety Disorder,29.1
164,5/7/2020,Arkansas,3694,88,Symptoms of Anxiety Disorder or Depressive Disorder,33.0
165,5/7/2020,California,62481,2561,Symptoms of Depressive Disorder,22.8
166,5/7/2020,California,62481,2561,Symptoms of Anxiety Disorder,31.4
167,5/7/2020,California,62481,2561,Symptoms of Anxiety Disorder or Depressive Disorder,34.4
168,5/7/2020,Colorado,18264,942,Symptoms of Depressive Disorder,23.6
169,5/7/2020,Colorado,18264,942,Symptoms of Anxiety Disorder,29.7
170,5/7/2020,Colorado,18264,942,Symptoms of Anxiety Disorder or Depressive Disorder,32.2
171,5/7/2020,Connecticut,31784,2797,Symptoms of Depressive Disorder,21.5
172,5/7/2020,Connecticut,31784,2797,Symptoms of Anxiety Disorder,29.1
173,5/7/2020,Connecticut,31784,2797,Symptoms of Anxiety Disorder or Depressive Disorder,36.0
174,5/7/2020,Delaware,5939,202,Symptoms of Depressive Disorder,23.3
175,5/7/2020,Delaware,5939,202,Symptoms of Anxiety Disorder,24.9
176,5/7/2020,Delaware,5939,202,Symptoms of Anxiety Disorder or Depressive Disorder,31.6
177,5/7/2020,District of Columbia,5654,285,Symptoms of Depressive Disorder,30.3
178,5/7/2020,District of Columbia,5654,285,Symptoms of Anxiety Disorder,36.2
179,5/7/2020,District of Columbia,5654,285,Symptoms of Anxiety Disorder or Depressive Disorder,40.6
180,5/7/2020,Florida,38820,1599,Symptoms of Depressive Disorder,24.8
181,5/7/2020,Florida,38820,1599,Symptoms of Anxiety Disorder,27.6
182,5/7/2020,Florida,38820,1599,Symptoms of Anxiety Disorder or Depressive Disorder,33.6
183,5/7/2020,Georgia,30524,1332,Symptoms of Depressive Disorder,25.6
184,5/7/2020,Georgia,30524,1332,Symptoms of Anxiety Disorder,29.5
185,5/7/2020,Georgia,30524,1332,Symptoms of Anxiety Disorder or Depressive Disorder,34.3
186,5/7/2020,Hawaii,619,17,Symptoms of Depressive Disorder,16.8
187,5/7/2020,Hawaii,619,17,Symptoms of Anxiety Disorder,20.4
188,5/7/2020,Hawaii,619,17,Symptoms of Anxiety Disorder or Depressive Disorder,27.1
189,5/7/2020,Idaho,2178,67,Symptoms of Depressive Disorder,17.0
190,5/7/2020,Idaho,2178,67,Symptoms of Anxiety Disorder,25.0
191,5/7/2020,Idaho,2178,67,Symptoms of Anxiety Disorder or Depressive Disorder,29.2
192,5/7/2020,Illinois,70802,3139,Symptoms of Depressive Disorder,29.2
193,5/7/2020,Illinois,70802,3139,Symptoms of Anxiety Disorder,35.7
194,5/7/2020,Illinois,70802,3139,Symptoms of Anxiety Disorder or Depressive Disorder,41.8
195,5/7/2020,Indiana,22942,1414,Symptoms of Depressive Disorder,19.9
196,5/7/2020,Indiana,22942,1414,Symptoms of Anxiety Disorder,31.5
197,5/7/2020,Indiana,22942,1414,Symptoms of Anxiety Disorder or Depressive Disorder,34.9
198,5/7/2020,Iowa,11059,231,Symptoms of Depressive Disorder,18.1
199,5/7/2020,Iowa,11059,231,Symptoms of Anxiety Disorder,20.3
200,5/7/2020,Iowa,11059,231,Symptoms of Anxiety Disorder or Depressive Disorder,26.1
201,5/7/2020,Kansas,6240,164,Symptoms of Depressive Disorder,16.7
202,5/7/2020,Kansas,6240,164,Symptoms of Anxiety Disorder,25.1
203,5/7/2020,Kansas,6240,164,Symptoms of Anxiety Disorder or Depressive Disorder,28.0
204,5/7/2020,Kentucky,6173,302,Symptoms of Depressive Disorder,25.6
205,5/7/2020,Kentucky,6173,302,Symptoms of Anxiety Disorder,29.6
206,5/7/2020,Kentucky,6173,302,Symptoms of Anxiety Disorder or Depressive Disorder,37.7
207,5/7/2020,Louisiana,30725,2208,Symptoms of Depressive Disorder,30.0
208,5/7/2020,Louisiana,30725,2208,Symptoms of Anxiety Disorder,34.6
209,5/7/2020,Louisiana,30725,2208,Symptoms of Anxiety Disorder or Depressive Disorder,42.8
210,5/7/2020,Maine,1330,62,Symptoms of Depressive Disorder,17.1
211,5/7/2020,Maine,1330,62,Symptoms of Anxiety Disorder,28.9
212,5/7/2020,Maine,1330,62,Symptoms of Anxiety Disorder or Depressive Disorder,32.9
213,5/7/2020,Maryland,29476,1503,Symptoms of Depressive Disorder,24.6
214,5/7/2020,Maryland,29476,1503,Symptoms of Anxiety Disorder,30.1
215,5/7/2020,Maryland,29476,1503,Symptoms of Anxiety Disorder or Depressive Disorder,34.6
216,5/7/2020,Massachusetts,73721,4552,Symptoms of Depressive Disorder,18.9
217,5/7/2020,Massachusetts,73721,4552,Symptoms of Anxiety Disorder,28.7
218,5/7/2020,Massachusetts,73721,4552,Symptoms of Anxiety Disorder or Depressive Disorder,31.0
219,5/7/2020,Michigan,45643,4343,Symptoms of Depressive Disorder,23.4
220,5/7/2020,Michigan,45643,4343,Symptoms of Anxiety Disorder,27.0
221,5/7/2020,Michigan,45643,4343,Symptoms of Anxiety Disorder or Depressive Disorder,33.4
222,5/7/2020,Minnesota,9364,508,Symptoms of Depressive Disorder,18.4
223,5/7/2020,Minnesota,9364,508,Symptoms of Anxiety Disorder,22.9
224,5/7/2020,Minnesota,9364,508,Symptoms of Anxiety Disorder or Depressive Disorder,27.2
225,5/7/2020,Mississippi,8686,396,Symptoms of Depressive Disorder,35.5
226,5/7/2020,Mississippi,8686,396,Symptoms of Anxiety Disorder,38.3
227,5/7/2020,Mississippi,8686,396,Symptoms of Anxiety Disorder or Depressive Disorder,48.4
228,5/7/2020,Missouri,9409,449,Symptoms of Depressive Disorder,24.1
229,5/7/2020,Missouri,9409,449,Symptoms of Anxiety Disorder,37.8
230,5/7/2020,Missouri,9409,449,Symptoms of Anxiety Disorder or Depressive Disorder,41.3
231,5/7/2020,Montana,456,16,Symptoms of Depressive Disorder,20.8
232,5/7/2020,Montana,456,16,Symptoms of Anxiety Disorder,24.9
233,5/7/2020,Montana,456,16,Symptoms of Anxiety Disorder or Depressive Disorder,27.6
234,5/7/2020,Nebraska,7190,91,Symptoms of Depressive Disorder,21.6
235,5/7/2020,Nebraska,7190,91,Symptoms of Anxiety Disorder,29.6
236,5/7/2020,Nebraska,7190,91,Symptoms of Anxiety Disorder or Depressive Disorder,33.4
237,5/7/2020,Nevada,5858,293,Symptoms of Depressive Disorder,31.2
238,5/7/2020,Nevada,5858,293,Symptoms of Anxiety Disorder,34.0
239,5/7/2020,Nevada,5858,293,Symptoms of Anxiety Disorder or Depressive Disorder,38.1
240,5/7/2020,New Hampshire,2843,114,Symptoms of Depressive Disorder,23.3
241,5/7/2020,New Hampshire,2843,114,Symptoms of Anxiety Disorder,30.4
242,5/7/2020,New Hampshire,2843,114,Symptoms of Anxiety Disorder or Depressive Disorder,35.0
243,5/7/2020,New Jersey,133635,8801,Symptoms of Depressive Disorder,26.4
244,5/7/2020,New Jersey,133635,8801,Symptoms of Anxiety Disorder,36.3
245,5/7/2020,New Jersey,133635,8801,Symptoms of Anxiety Disorder or Depressive Disorder,39.6
246,5/7/2020,New Mexico,4492,172,Symptoms of Depressive Disorder,29.0
247,5/7/2020,New Mexico,4492,172,Symptoms of Anxiety Disorder,30.2
248,5/7/2020,New Mexico,4492,172,Symptoms of Anxiety Disorder or Depressive Disorder,39.8
249,5/7/2020,New York,332931,26206,Symptoms of Depressive Disorder,29.2
250,5/7/2020,New York,332931,26206,Symptoms of Anxiety Disorder,33.0
251,5/7/2020,New York,332931,26206,Symptoms of Anxiety Disorder or Depressive Disorder,36.9
252,5/7/2020,North Carolina,13431,521,Symptoms of Depressive Disorder,20.2
253,5/7/2020,North Carolina,13431,521,Symptoms of Anxiety Disorder,25.9
254,5/7/2020,North Carolina,13431,521,Symptoms of Anxiety Disorder or Depressive Disorder,28.1
255,5/7/2020,North Dakota,1371,31,Symptoms of Depressive Disorder,20.2
256,5/7/2020,North Dakota,1371,31,Symptoms of Anxiety Disorder,25.4
257,5/7/2020,North Dakota,1371,31,Symptoms of Anxiety Disorder or Depressive Disorder,28.6
258,5/7/2020,Ohio,22131,1271,Symptoms of Depressive Disorder,26.4
259,5/7/2020,Ohio,22131,1271,Symptoms of Anxiety Disorder,26.4
260,5/7/2020,Ohio,22131,1271,Symptoms of Anxiety Disorder or Depressive Disorder,32.8
261,5/7/2020,Oklahoma,4330,260,Symptoms of Depressive Disorder,20.7
262,5/7/2020,Oklahoma,4330,260,Symptoms of Anxiety Disorder,27.2
263,5/7/2020,Oklahoma,4330,260,Symptoms of Anxiety Disorder or Depressive Disorder,31.0
264,5/7/2020,Oregon,2989,121,Symptoms of Depressive Disorder,17.8
265,5/7/2020,Oregon,2989,121,Symptoms of Anxiety Disorder,26.2
266,5/7/2020,Oregon,2989,121,Symptoms of Anxiety Disorder or Depressive Disorder,29.9
267,5/7/2020,Pennsylvania,56149,3599,Symptoms of Depressive Disorder,23.0
268,5/7/2020,Pennsylvania,56149,3599,Symptoms of Anxiety Disorder,28.4
269,5/7/2020,Pennsylvania,56149,3599,Symptoms of Anxiety Disorder or Depressive Disorder,32.0
270,5/7/2020,Rhode Island,10530,388,Symptoms of Depressive Disorder,22.8
271,5/7/2020,Rhode Island,10530,388,Symptoms of Anxiety Disorder,26.9
272,5/7/2020,Rhode Island,10530,388,Symptoms of Anxiety Disorder or Depressive Disorder,33.8
273,5/7/2020,South Carolina,7142,316,Symptoms of Depressive Disorder,25.6
274,5/7/2020,South Carolina,7142,316,Symptoms of Anxiety Disorder,27.9
275,5/7/2020,South Carolina,7142,316,Symptoms of Anxiety Disorder or Depressive Disorder,33.1
276,5/7/2020,South Dakota,2905,31,Symptoms of Depressive Disorder,20.5
277,5/7/2020,South Dakota,2905,31,Symptoms of Anxiety Disorder,26.1
278,5/7/2020,South Dakota,2905,31,Symptoms of Anxiety Disorder or Depressive Disorder,29.8
279,5/7/2020,Tennessee,14108,238,Symptoms of Depressive Disorder,21.7
280,5/7/2020,Tennessee,14108,238,Symptoms of Anxiety Disorder,29.6
281,5/7/2020,Tennessee,14108,238,Symptoms of Anxiety Disorder or Depressive Disorder,34.7
282,5/7/2020,Texas,36682,1016,Symptoms of Depressive Disorder,25.7
283,5/7/2020,Texas,36682,1016,Symptoms of Anxiety Disorder,32.4
284,5/7/2020,Texas,36682,1016,Symptoms of Anxiety Disorder or Depressive Disorder,35.9
285,5/7/2020,Utah,5724,61,Symptoms of Depressive Disorder,22.6
286,5/7/2020,Utah,5724,61,Symptoms of Anxiety Disorder,26.0
287,5/7/2020,Utah,5724,61,Symptoms of Anxiety Disorder or Depressive Disorder,30.4
288,5/7/2020,Vermont,916,53,Symptoms of Depressive Disorder,26.8
289,5/7/2020,Vermont,916,53,Symptoms of Anxiety Disorder,31.8
290,5/7/2020,Vermont,916,53,Symptoms of Anxiety Disorder or Depressive Disorder,35.7
291,5/7/2020,Virginia,21570,769,Symptoms of Depressive Disorder,20.6
292,5/7/2020,Virginia,21570,769,Symptoms of Anxiety Disorder,26.8
293,5/7/2020,Virginia,21570,769,Symptoms of Anxiety Disorder or Depressive Disorder,30.6
294,5/7/2020,Washington,17187,903,Symptoms of Depressive Disorder,22.9
295,5/7/2020,Washington,17187,903,Symptoms of Anxiety Disorder,28.5
296,5/7/2020,Washington,17187,903,Symptoms of Anxiety Disorder or Depressive Disorder,35.0
297,5/7/2020,West Virginia,1298,51,Symptoms of Depressive Disorder,31.8
298,5/7/2020,West Virginia,1298,51,Symptoms of Anxiety Disorder,34.6
299,5/7/2020,West Virginia,1298,51,Symptoms of Anxiety Disorder or Depressive Disorder,39.0
300,5/7/2020,Wisconsin,9369,374,Symptoms of Depressive Disorder,22.9
301,5/7/2020,Wisconsin,9369,374,Symptoms of Anxiety Disorder,25.6
302,5/7/2020,Wisconsin,9369,374,Symptoms of Anxiety Disorder or Depressive Disorder,29.7
303,5/7/2020,Wyoming,635,7,Symptoms of Depressive Disorder,18.6
304,5/7/2020,Wyoming,635,7,Symptoms of Anxiety Disorder,22.5
305,5/7/2020,Wyoming,635,7,Symptoms of Anxiety Disorder or Depressive Disorder,27.9
306,5/14/2020,Alabama,11101,473,Symptoms of Depressive Disorder,19.6
307,5/14/2020,Alabama,11101,473,Symptoms of Anxiety Disorder,20.7
308,5/14/2020,Alabama,11101,473,Symptoms of Anxiety Disorder or Depressive Disorder,25.2
309,5/14/2020,Alaska,387,8,Symptoms of Depressive Disorder,23.6
310,5/14/2020,Alaska,387,8,Symptoms of Anxiety Disorder,26.2
311,5/14/2020,Alaska,387,8,Symptoms of Anxiety Disorder or Depressive Disorder,32.7
312,5/14/2020,Arizona,12674,624,Symptoms of Depressive Disorder,20.0
313,5/14/2020,Arizona,12674,624,Symptoms of Anxiety Disorder,29.0
314,5/14/2020,Arizona,12674,624,Symptoms of Anxiety Disorder or Depressive Disorder,32.1
315,5/14/2020,Arkansas,4366,98,Symptoms of Depressive Disorder,28.9
316,5/14/2020,Arkansas,4366,98,Symptoms of Anxiety Disorder,28.7
317,5/14/2020,Arkansas,4366,98,Symptoms of Anxiety Disorder or Depressive Disorder,35.2
318,5/14/2020,California,74947,3039,Symptoms of Depressive Disorder,28.7
319,5/14/2020,California,74947,3039,Symptoms of Anxiety Disorder,32.3
320,5/14/2020,California,74947,3039,Symptoms of Anxiety Disorder or Depressive Disorder,38.8
321,5/14/2020,Colorado,20813,1091,Symptoms of Depressive Disorder,23.7
322,5/14/2020,Colorado,20813,1091,Symptoms of Anxiety Disorder,27.6
323,5/14/2020,Colorado,20813,1091,Symptoms of Anxiety Disorder or Depressive Disorder,33.1
324,5/14/2020,Connecticut,35464,3219,Symptoms of Depressive Disorder,20.2
325,5/14/2020,Connecticut,35464,3219,Symptoms of Anxiety Disorder,28.7
326,5/14/2020,Connecticut,35464,3219,Symptoms of Anxiety Disorder or Depressive Disorder,33.9
327,5/14/2020,Delaware,7223,260,Symptoms of Depressive Disorder,21.8
328,5/14/2020,Delaware,7223,260,Symptoms of Anxiety Disorder,26.6
329,5/14/2020,Delaware,7223,260,Symptoms of Anxiety Disorder or Depressive Disorder,31.8
